LastName,FirstName,OccuTitle
Doe,John,Manager
Smith,Jane,Engineer
Brown,Sam,Technician
Johnson,Alex,Suprvsr.
Davis,Emily,Consltnt.
Wilson,Chris,Adminstrtr.
Moore,Ryan,Manager
Taylor,Sara,Engineer
Anderson,Daniel,Technician
Thomas,Sophia,Suprvsr.
Jackson,Michael,Consltnt.
Martinez,Jessica,Adminstrtr.
Harris,Ethan,Manager
Clark,Olivia,Engineer
Lewis,Benjamin,Technician
Walker,Mia,Suprvsr.
Hall,Lucas,Consltnt.
Allen,Charlotte,Adminstrtr.
Young,Nathan,Mang.
King,Emma,Engneer.
Scott,William,Tech.
White,Ava,Suprvsr.
